asin	title	subtitle	extended_product_description	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url	purchase_date
B00EZAXAF8	The Brothers Karamazov [Naxos AudioBooks Edition]			Constance Garnett - translator, Fyodor Dostoevsky	Constantine Gregory			Literature & Fiction, Classics, Literature & Fiction, Genre Fiction, Literary Fiction, Literature & Fiction, Genre Fiction, War & Military	2224	True	0.0	4.6	5892	2021-02-16T14:47:30.954Z	2012-12-30	https://m.media-amazon.com/images/I/51DpA-g11JL._SL500_.jpg	2021-02-16T14:47:30.954Z
B00HZNTRE0	Hooked: How to Build Habit-Forming Products			Nir Eyal, Ryan Hoover	Nir Eyal			Business & Careers, Marketing & Sales, Consumer Behavior & Market Research	280	True	100.0	4.4	4769	2018-06-26T10:03:43.580Z	2014-01-22	https://m.media-amazon.com/images/I/51o-DT4Z33L._SL500_.jpg	2018-06-26T10:03:43.580Z
B00IFG88SM	The Goal	A Process of Ongoing Improvement - 30th Anniversary Edition		Eliyahu M. Goldratt, Jeff Cox	uncredited			Business & Careers, Management & Leadership, Management, Business & Careers, Marketing & Sales, Marketing, Business & Careers, Workplace & Organizational Behavior, Organizational Behavior, Literature & Fiction, Genre Fiction, Literary Fiction	705	True	87.0	4.7	6367	2021-02-08T11:14:32.669Z	2014-03-18	https://m.media-amazon.com/images/I/51h1jhqTiZL._SL500_.jpg	2021-02-08T11:14:32.669Z
B00N973JB8	The Leap	The Science of Trust and Why It Matters		Ulrich Boser	Jeff Cummings			Business & Careers, Career Success, Business & Careers, Workplace & Organizational Behavior, Business Ethics, Business & Careers, Workplace & Organizational Behavior, Workplace Culture, Health & Wellness, Psychology & Mental Health, Psychology, Social Psychology & Interactions, Money & Finance, Economics, Politics & Social Sciences, Philosophy, Society, Politics & Social Sciences, Politics & Government, Political Science, Politics & Social Sciences, Social Sciences, Politics & Social Sciences, Sociology	347	True	99.0	3.9	56	2026-05-07T15:06:32.754Z	2014-09-16	https://m.media-amazon.com/images/I/41oTZMjL3oL._SL500_.jpg	2026-05-07T15:06:32.754Z
B00OPB09R4	MONEY Master the Game	7 Simple Steps to Financial Freedom		Tony Robbins	Tony Robbins, Jeremy Bobb			Money & Finance, Personal Finance, Relationships, Parenting & Personal Development, Personal Development, Personal Success	451	False	62.0	4.5	783	2021-12-10T11:05:18.095Z	2014-11-18	https://m.media-amazon.com/images/I/61PJaGI--ZL._SL500_.jpg	2021-12-10T11:05:18.095Z
B00URXOQ1E	The Art of War			Sun Tzu	Aidan Gillen			Business & Careers, Management & Leadership, Leadership, Business & Careers, Career Success, Motivation & Self-Improvement, History, Asia, Central Asia, History, Military, Military Science, History, World, Literature & Fiction, Classics, Politics & Social Sciences, Law, Politics & Social Sciences, Philosophy, Eastern, Relationships, Parenting & Personal Development, Personal Development	67	True	100.0	4.6	43574	2024-02-19T10:32:57.000Z	2015-03-31	https://m.media-amazon.com/images/I/51EE3GAdmfL._SL500_.jpg	2024-02-19T10:32:57.000Z
B00WFIDKWU	People Over Profit	Break the System, Live with Purpose, Be More Successful		Dale Partridge	Dale Partridge			Business & Careers, Management & Leadership, Leadership, Business & Careers, Business Development & Entrepreneurship, Business & Careers, Workplace & Organizational Behavior, Business Ethics, Business & Careers, Workplace & Organizational Behavior, Workplace Culture	185	True	100.0	4.4	594	2019-02-07T14:57:34.025Z	2015-05-05	https://m.media-amazon.com/images/I/41V8K5lgEDL._SL500_.jpg	2019-02-07T14:57:34.025Z
B00WYDJ2YQ	48 Laws of Power			Robert Greene	Richard Poe			Biographies & Memoirs, Historical, Business & Careers, Management & Leadership, Leadership, History, World, Politics & Social Sciences, Philosophy, Ethics & Morality, Politics & Social Sciences, Politics & Government, Political Science, History & Theory	1386	False	60.0	4.6	26179	2024-11-29T09:19:02.485Z	2015-05-01	https://m.media-amazon.com/images/I/41dTDMW9IhL._SL500_.jpg	2024-11-29T09:19:02.485Z
B017V4WD66	Strong Fathers, Strong Daughters			Meg Meeker	Coleen Marlo			Relationships, Parenting & Personal Development, Parenting & Families, Fatherhood, Relationships, Parenting & Personal Development, Relationships	424	True	98.0	4.5	3484	2019-03-07T14:01:25.745Z	2016-01-05	https://m.media-amazon.com/images/I/41h7u1bfNaL._SL500_.jpg	2019-03-07T14:01:25.745Z
B01B6WSMHI	Getting Things Done	The Art of Stress-Free Productivity		David Allen	David Allen			Business & Careers, Career Success, Relationships, Parenting & Personal Development, Personal Development, Personal Success	623	True	100.0	4.6	6386	2017-09-30T16:10:26.315Z	2016-02-23	https://m.media-amazon.com/images/I/51bGhYfO9KL._SL500_.jpg	2017-09-30T16:10:26.315Z
B01CF5O89G	Never Split the Difference	Negotiating as if Your Life Depended on It		Chris Voss, Tahl Raz	Michael Kramer			Business & Careers, Management & Leadership, Negotiating, Business & Careers, Career Success, Business & Careers, Business Development & Entrepreneurship, Relationships, Parenting & Personal Development, Personal Development, Communication & Social Skills	487	True	100.0	4.8	66233	2018-08-16T15:34:05.170Z	2016-05-17	https://m.media-amazon.com/images/I/51gx6VN0-UL._SL500_.jpg	2018-08-16T15:34:05.170Z
B01I28NFEE	The Subtle Art of Not Giving a F*ck	A Counterintuitive Approach to Living a Good Life		Mark Manson	Roger Wayne			Relationships, Parenting & Personal Development, Personal Development, Personal Success	317	True	0.0	4.5	177684	2018-01-17T13:23:50.517Z	2016-09-13	https://m.media-amazon.com/images/I/51MT0MbpD7L._SL500_.jpg	2018-01-17T13:23:50.517Z
B01INNOW6I	Master Your Time, Master Your Life	The Breakthrough System to Get More Results, Faster, in Every Area of Your Life		Brian Tracy	Brian Tracy			Business & Careers, Career Success, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Relationships, Parenting & Personal Development, Personal Development, Time Management	242	True	100.0	4.6	658	2021-02-15T07:07:47.327Z	2016-10-11	https://m.media-amazon.com/images/I/51OpOf-ZLvL._SL500_.jpg	2021-02-15T07:07:47.327Z
B01KWAPBHE	Influence	The Psychology of Persuasion		Robert B. Cialdini	George Newbern			Business & Careers, Marketing & Sales, Consumer Behavior & Market Research, Health & Wellness, Psychology & Mental Health, Psychology, Relationships, Parenting & Personal Development, Personal Development, Personal Success	606	True	0.0	4.6	12110	2018-05-27T06:45:10.488Z	2016-10-11	https://m.media-amazon.com/images/I/51K-iHvDHNL._SL500_.jpg	2018-05-27T06:45:10.488Z
B01LZNGDIW	The Greatest Salesman in the World			Og Mandino	Mark Bramhall	The Greatest Salesman in the World	1	Business & Careers, Marketing & Sales, Sales & Selling, Business & Careers, Career Success, Motivation & Self-Improvement, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Religion & Spirituality, Christianity, Christian Living, Spiritual Growth	153	True	99.0	4.8	6292	2023-10-19T21:24:01.295Z	2016-11-01	https://m.media-amazon.com/images/I/41fyTlvKKYL._SL500_.jpg	2023-10-19T21:24:01.295Z
B01M03NLJY	The Life-Changing Magic of Tidying	A Simple, Effective Way to Banish Clutter Forever		Marie Kondo	Lucy Scott	The Life Changing Magic of Tidying Up	1	Home & Garden, House & Home, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Relationships, Parenting & Personal Development, Personal Development, Stress Management	279	True	8.0	4.6	813	2019-11-09T10:30:55.433Z	2016-09-22	https://m.media-amazon.com/images/I/41WQg5FgWOL._SL500_.jpg	2019-11-09T10:30:55.433Z
B01M3ROQI8	Essential	Essays by the Minimalists		Joshua Fields Millburn, Ryan Nicodemus	Justin Malik			Literature & Fiction, Essays, Relationships, Parenting & Personal Development, Personal Development, Personal Success	356	True	13.0	4.6	811	2017-09-25T08:17:31.742Z	2016-10-21	https://m.media-amazon.com/images/I/51gENngZYDL._SL500_.jpg	2017-09-25T08:17:31.742Z
B01MS9MONB	The Proven Path from Blank Page to 10,000 Copies Sold			Chandler Bolt	Chandler Bolt			Business & Careers, Career Success, Relationships, Parenting & Personal Development, Personal Development, Creativity	363	True	100.0	4.8	245	2023-03-09T12:10:36.529Z	2017-01-24	https://m.media-amazon.com/images/I/41jKZD317xL._SL500_.jpg	2023-03-09T12:10:36.529Z
B01MUE1V9L	Everything That Remains	A Memoir by the Minimalists		Joshua Fields Millburn, Ryan Nicodemus	Justin Malik			Biographies & Memoirs, Relationships, Parenting & Personal Development, Personal Development, Personal Success	325	True	2.0	4.5	1802	2017-09-04T09:13:30.389Z	2017-01-26	https://m.media-amazon.com/images/I/41AHUznC3fL._SL500_.jpg	2017-09-04T09:13:30.389Z
B01N3YYP7Y	Minimalism	Live a Meaningful Life, Second Edition		Ryan Nicodemus, Joshua Fields Millburn	Justin Malik			Relationships, Parenting & Personal Development, Personal Development, Personal Success	159	True	12.0	4.3	1687	2017-08-31T07:28:13.740Z	2016-11-16	https://m.media-amazon.com/images/I/51FDr+k-SXL._SL500_.jpg	2017-08-31T07:28:13.740Z
B01NCBI3RC	F.U. Money	Make As Much Money As You Damn Well Want And Live Your LIfe As You Damn Well Please!		Dan Lok	Dan Lok			Business & Careers, Money & Finance, Personal Finance, Relationships, Parenting & Personal Development, Personal Development, Personal Success	290	True	91.0	4.6	2154	2023-03-22T19:17:38.000Z	2016-11-22	https://m.media-amazon.com/images/I/51ISUvfUnwS._SL500_.jpg	2023-03-22T19:17:38.000Z
B06VX22V89	The 5 Second Rule	Transform your Life, Work, and Confidence with Everyday Courage		Mel Robbins	Mel Robbins			Relationships, Parenting & Personal Development, Personal Development, Personal Success	455	True	0.0	4.7	53637	2018-03-28T07:06:31.375Z	2017-02-22	https://m.media-amazon.com/images/I/51dc79x8jsL._SL500_.jpg	2018-03-28T07:06:31.375Z
B06XTY6F43	The Richest Man in Babylon	Original 1926 Edition		George S. Clason, Charles Conrad	Charles Conrad			Business & Careers, Career Success, History, World, Money & Finance, Personal Finance	222	True	0.0	4.8	1349	2022-08-08T11:23:35.563Z	2017-03-28	https://m.media-amazon.com/images/I/510k1FTrM5L._SL500_.jpg	2022-08-08T11:23:35.563Z
B0731R4RFX	Unfu*k Yourself	Get Out of Your Head and into Your Life		Gary John Bishop	Gary John Bishop	Unfu*k Yourself		Relationships, Parenting & Personal Development, Personal Development, Personal Success	204	False	58.0	4.7	87702	2018-06-26T10:02:43.602Z	2017-08-01	https://m.media-amazon.com/images/I/41BG2bzbGyL._SL500_.jpg	2018-06-26T10:02:43.602Z
B074GC24SW	The Keto Reset Diet	Reboot Your Metabolism in 21 Days and Burn Fat Forever		Mark Sisson, Brad Kearns	Brad Kearns			Health & Wellness, Fitness, Diet & Nutrition, Diets, Nutrition & Healthy Eating, Health & Wellness, Fitness, Diet & Nutrition, Diets, Nutrition & Healthy Eating, Health & Wellness, Fitness, Diet & Nutrition, Diets, Nutrition & Healthy Eating, Weight Loss & Weight Control	501	True	100.0	4.6	1372	2018-06-15T09:44:31.010Z	2017-10-03	https://m.media-amazon.com/images/I/51wKkewBeDL._SL500_.jpg	2018-06-15T09:44:31.010Z
B074VDVHZ5	Start with Why	How Great Leaders Inspire Everyone to Take Action		Simon Sinek	Simon Sinek			Business & Careers, Management & Leadership, Leadership, Business & Careers, Management & Leadership, Management, Business & Careers, Career Success, Motivation & Self-Improvement, Business & Careers, Business Development & Entrepreneurship, Entrepreneurship	438	True	0.0	4.7	27832	2021-07-29T11:41:35.249Z	2017-09-05	https://m.media-amazon.com/images/I/51Zuy0g7l+L._SL500_.jpg	2021-07-29T11:41:35.249Z
B0759VCSCV	Ikigai	The Japanese Secret to a Long and Happy Life		Héctor García, Francesc Miralles	Naoko Mori			Politics & Social Sciences, Philosophy, Eastern, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Relationships, Parenting & Personal Development, Personal Development, Self-Esteem, Relationships, Parenting & Personal Development, Personal Development, Stress Management	203	False	0.0	4.4	622	2021-06-14T09:46:25.360Z	2017-09-18	https://m.media-amazon.com/images/I/415Zt8yu3oL._SL500_.jpg	2021-06-14T09:46:25.360Z
