nr;inhoud;artikel naam;Reglement
1;De vereniging draagt de naam. Rivierenland Darts Bond. Bij afkorting genaamd: RDB.;Artikel 1 NAAM EN ZETEL ;HUISHOUDELIJK REGLEMENT
2;Zij heeft haar zetel te Nijmegen. ;Artikel 1 NAAM EN ZETEL ;HUISHOUDELIJK REGLEMENT
1;De vereniging, opgericht d.d. 24-02-1989 (24 februari 1989), duurt voor onbepaalde tijd. ;Artikel 2 DUUR ;HUISHOUDELIJK REGLEMENT
1;De RDB heeft ten doel de beoefening van en belangstelling voor de dartssport te bevorderen, alsmede het stimuleren en organiseren van activiteiten die in het kader van de dartssport de ontwikkeling, vorming en recreatie van de mens beogen.;Artikel 3 DOEL;HUISHOUDELIJK REGLEMENT
2;De RDB is een organisatie die ten dienste staat van eenieder, die de in het eerste lid omschreven doelstelling wenst te onderschrijven. ;Artikel 3 DOEL;HUISHOUDELIJK REGLEMENT
