ID;Title;cafenummer;Naam;Adres;Plaats;postcode;Telefoon;website;Speelgelenheid Map Locatie_address;Speelgelenheid Map Locatie_lat;Speelgelenheid Map Locatie_lng
1653;Sportcafé De Vrijboom;C106;Sportcafé De Vrijboom;van Heemstraweg 66b;Beuningen;6641 AG;;;van Heemstraweg 66b,Beuningen,Netherlands;;
1654;De Doorkijk;C009;De Doorkijk;Langstuk 2;Druten;6651 HZ;;;Langstuk 2,Druten,Netherlands;;
1655;VTC Wamel;C198;VTC Wamel;Clarissenstraat 2;Wamel;6659 BN;;0;Clarissenstraat 2,Wamel,Netherlands;;
1656;DC De Rijnvogels;C170;DC De Rijnvogels;Drielse Rijndijk 61a;Driel;6667 LP;;;Drielse Rijndijk 61a,Driel,Netherlands;51.9628534;5.8119235
1657;Café De Posthoorn;C213;Café De Posthoorn;Tielsestraat 215;Andelst;6673 AC;;;Tielsestraat 215,Andelst,Netherlands;;
1658;De Viersprong;C201;De Viersprong;Reethsestraat 1;Valburg;6675 CE;;;Reethsestraat 1,Valburg,Netherlands;;
1659;S.V. Op De Korrel;C209;S.V. Op De Korrel;Sportlaan 1E;Bemmel;6681 CD;;;Sportlaan 1E,Bemmel,Netherlands;;
1660;Dorpshuis De Tichel;C028;Dorpshuis De Tichel;Kolkweg 5 A;Haalderen;6685 BC;;;Kolkweg 5 A,Haalderen,Netherlands;;
1661;De Klok;C014;De Klok;Markt 1;Gendt;6691 BK;;;Markt 1,Gendt,Netherlands;;
1662;Café de Keijzer;C216;Café de Keijzer;Edeseweg 73;Bennekom;6721 JR;;;Edeseweg 73,Bennekom,Netherlands;52.0035155;5.6748979
1663;Dubbel10;C261;Dubbel10;Varkensstraat 41;Arnhem;6811 GN;;https://dubbel10.nl/;Varkensstraat 41,Arnhem,Netherlands;51.9817167;5.904688
1664;Camping De Lindenhof;C259;Camping De Lindenhof;Wolfhezerweg 111;Wolfheze;6874 AD;;;Wolfhezerweg 111,Wolfheze,Netherlands;;
1665;Café van Dorth;C271;Café van Dorth;Rijksweg 19;Duiven;6921 AB;;;Rijksweg 19,Duiven,Netherlands;51.9517588;6.0189436
1666;Partycentrum Ons Huis;C193;Partycentrum Ons Huis;Mr. B. van Leeuwenplein 7;Rheden;6991 EW;;;Mr. B. van Leeuwenplein 7,Rheden,Netherlands;52.0058025;6.033316
